UNIT,station_name,lat,lng,location_string
R301,YORK ST,40.699756,-73.98689,"40.699756,-73.98689"
R302,57 ST,40.763625,-73.977449,"40.763625,-73.977449"
R303,21 ST,40.7541,-73.94258,"40.7541,-73.94258"
R304,RECTOR ST,40.70784,-74.013691,"40.70784,-74.013691"
R305,CORTLANDT ST,40.710454,-74.011324,"40.710454,-74.011324"
R306,238 ST,40.884821,-73.900759,"40.884821,-73.900759"
R307,138 ST-GR CONC,40.813208,-73.929877,"40.813208,-73.929877"
R308,MT EDEN AVE,40.844406,-73.914621,"40.844406,-73.914621"
R309,176 ST,40.848635,-73.912497,"40.848635,-73.912497"
R310,111 ST,40.75176,-73.855183,"40.75176,-73.855183"
R311,BOWERY,40.720315,-73.994014,"40.720315,-73.994014"
R312,W 8 ST-AQUARIUM,40.576152,-73.975925,"40.576152,-73.975925"
R313,BUSHWICK AVE,40.682558,-73.905501,"40.682558,-73.905501"
R314,103 ST,40.796105,-73.961399,"40.796105,-73.961399"
R315,155 ST,40.829934,-73.938632,"40.829934,-73.938632"
R316,FLUSHING AVE,40.700374,-73.950284,"40.700374,-73.950284"
R317,CLINTON-WASH AV,40.688123,-73.966742,"40.688123,-73.966742"
R318,FULTON ST,40.68713,-73.975346,"40.68713,-73.975346"
R319,LEXINGTON AVE,40.764763,-73.966291,"40.764763,-73.966291"
R320,CANAL ST,40.722819,-74.006267,"40.722819,-74.006267"
R321,18 ST,40.741096,-73.997877,"40.741096,-73.997877"
R322,SPRING ST,40.722397,-73.997211,"40.722397,-73.997211"
R323,110 ST-CPN,40.79911,-73.951807,"40.79911,-73.951807"
R324,116 ST,40.802098,-73.949625,"40.802098,-73.949625"
R325,WHITLOCK AVE,40.826508,-73.886425,"40.826508,-73.886425"
R326,ZEREGA AVE,40.83646,-73.846471,"40.83646,-73.846471"
R327,52 ST-LINCOLN,40.744103,-73.912497,"40.744103,-73.912497"
R328,METS-WILLETS PT,40.754622,-73.845625,"40.754622,-73.845625"
R329,MORRIS PARK,40.854137,-73.860977,"40.854137,-73.860977"
R330,3 AVE,40.733243,-73.987169,"40.733243,-73.987169"
R331,155 ST,40.830551,-73.941486,"40.830551,-73.941486"
R332,135 ST,40.817902,-73.947644,"40.817902,-73.947644"
R333,116 ST,40.805072,-73.954833,"40.805072,-73.954833"
R334,CATHEDRL-110 ST,40.800637,-73.958201,"40.800637,-73.958201"
R335,BEACH 67 ST,40.590867,-73.797011,"40.590867,-73.797011"
R336,BEACH 60 ST,40.592334,-73.788493,"40.592334,-73.788493"
R337,BEACH 44 ST,40.593214,-73.776433,"40.593214,-73.776433"
R338,BEACH 36 ST,40.595381,-73.768194,"40.595381,-73.768194"
R339,36 ST,40.75202,-73.92874,"40.75202,-73.92874"
R340,65 ST,40.749663,-73.898485,"40.749663,-73.898485"
R341,75 AVE,40.718477,-73.837223,"40.718477,-73.837223"
R342,JAMAICA-VAN WYC,40.702566,-73.816859,"40.702566,-73.816859"
R343,FRANKLIN ST,40.719323,-74.006953,"40.719323,-74.006953"
R344,145 ST,40.820402,-73.936315,"40.820402,-73.936315"
R345,148 ST-LENOX,40.823877,-73.936443,"40.823877,-73.936443"
R346,COURT SQ,40.747029,-73.94537,"40.747029,-73.94537"
R347,69 ST-FISK AVE,40.746325,-73.896403,"40.746325,-73.896403"
R348,ATLANTIC AVE,40.675496,-73.902819,"40.675496,-73.902819"
R349,SUTTER AVE,40.669376,-73.902047,"40.669376,-73.902047"
R350,LIVONIA AVE,40.663801,-73.900444,"40.663801,-73.900444"
R352,HEWES ST,40.706994,-73.953481,"40.706994,-73.953481"
R353,LORIMER ST,40.703855,-73.947387,"40.703855,-73.947387"
R354,OXFORD-104 ST,40.681745,-73.837631,"40.681745,-73.837631"
R355,GREENWOOD-111,40.684364,-73.832181,"40.684364,-73.832181"
R356,LEFFERTS BLVD,40.685975,-73.824713,"40.685975,-73.824713"
R357,AQUEDUCT-N CNDT,40.668234,-73.834058,"40.668234,-73.834058"
R358,BEACH 25 ST,40.600138,-73.76152,"40.600138,-73.76152"
R359,COURT SQ-23 ST,40.747257,-73.945112,"40.747257,-73.945112"
R360,VAN ALSTON-21ST,40.743973,-73.949876,"40.743973,-73.949876"
R361,PELHAM PARKWAY,40.857188,-73.867607,"40.857188,-73.867607"
R362,ALLERTON AVE,40.865481,-73.867393,"40.865481,-73.867393"
R363,BURKE AVE,40.871387,-73.867135,"40.871387,-73.867135"
R364,GUN HILL ROAD,40.877796,-73.866255,"40.877796,-73.866255"
R365,219 ST,40.883767,-73.862736,"40.883767,-73.862736"
R366,225 ST,40.887887,-73.860505,"40.887887,-73.860505"
R367,233 ST,40.893386,-73.857265,"40.893386,-73.857265"
R368,9 AVE,40.646343,-73.994551,"40.646343,-73.994551"
R369,FT HAMILTON PKY,40.640872,-73.994229,"40.640872,-73.994229"
R370,71 ST,40.619588,-73.998842,"40.619588,-73.998842"
R371,79 ST,40.613513,-74.000645,"40.613513,-74.000645"
R372,18 AVE,40.607958,-74.001782,"40.607958,-74.001782"
R373,20 AVE,40.604798,-73.998456,"40.604798,-73.998456"
R374,BAY PARKWAY,40.601898,-73.993821,"40.601898,-73.993821"
R375,NEW LOTS AVE,40.658748,-73.899472,"40.658748,-73.899472"
R376,EAST 105 ST,40.650625,-73.899558,"40.650625,-73.899558"
R377,FLUSHING AVE,40.700244,-73.941658,"40.700244,-73.941658"
R378,MYRTLE AVE,40.697266,-73.935692,"40.697266,-73.935692"
R379,KOSCIUSZKO ST,40.693329,-73.928826,"40.693329,-73.928826"
R380,GATES AVE,40.689652,-73.922281,"40.689652,-73.922281"
R381,HALSEY ST,40.68617,-73.916337,"40.68617,-73.916337"
R382,GRANT AVE,40.677107,-73.865376,"40.677107,-73.865376"
R383,HUDSON-80 ST,40.679369,-73.85896,"40.679369,-73.85896"
R384,BOYD-88 ST,40.679857,-73.851492,"40.679857,-73.851492"
R385,ROCKAWAY BLVD,40.680429,-73.843853,"40.680429,-73.843853"
R386,174 ST,40.837382,-73.887659,"40.837382,-73.887659"
R387,E TREMONT AVE,40.840097,-73.879774,"40.840097,-73.879774"
R388,E 180 ST,40.841882,-73.873551,"40.841882,-73.873551"
R389,BRONX PARK EAST,40.848797,-73.868465,"40.848797,-73.868465"
R390,8 AVE,40.635011,-74.011717,"40.635011,-74.011717"
R391,FT HAMILTON PKY,40.631428,-74.005387,"40.631428,-74.005387"
R392,18 AVE,40.620728,-73.990388,"40.620728,-73.990388"
R393,20 AVE,40.617373,-73.985088,"40.617373,-73.985088"
R394,BAY PKY-22 AVE,40.612006,-73.982009,"40.612006,-73.982009"
R395,KINGS HIGHWAY,40.603967,-73.980668,"40.603967,-73.980668"
R396,AVE U,40.597482,-73.979359,"40.597482,-73.979359"
R397,86 ST,40.592676,-73.978243,"40.592676,-73.978243"
R398,NEW UTRECHT AVE,40.625419,-73.996632,"40.625419,-73.996632"
R399,25 AVE,40.597873,-73.986955,"40.597873,-73.986955"
R400,BAY 50 ST,40.588879,-73.983629,"40.588879,-73.983629"
R401,CENTRAL AVE,40.697673,-73.927131,"40.697673,-73.927131"
R402,SENECA AVE,40.702798,-73.907776,"40.702798,-73.907776"
R403,FOREST AVE,40.704424,-73.903077,"40.704424,-73.903077"
R404,FRESH POND ROAD,40.706181,-73.89591,"40.706181,-73.89591"
R405,JACKSON AVE,40.816505,-73.907797,"40.816505,-73.907797"
R406,PROSPECT AVE,40.819396,-73.901467,"40.819396,-73.901467"
R407,INTERVALE-163,40.822172,-73.896747,"40.822172,-73.896747"
R408,SIMPSON ST,40.82417,-73.893228,"40.82417,-73.893228"
R409,FREEMAN ST,40.829966,-73.891876,"40.829966,-73.891876"
R411,PARK PLACE,40.67491,-73.957794,"40.67491,-73.957794"
R412,BOTANIC GARDEN,40.670499,-73.958759,"40.670499,-73.958759"
R413,KNICKERBOCKER,40.698666,-73.919685,"40.698666,-73.919685"
R414,HOWARD BCH-JFK,40.660476,-73.830301,"40.660476,-73.830301"
R415,BROAD CHANNEL,40.608693,-73.816068,"40.608693,-73.816068"
R416,BEACH 90 ST,40.588032,-73.813684,"40.588032,-73.813684"
R417,BEACH 98 ST,40.585514,-73.820143,"40.585514,-73.820143"
R418,BEACH 105 ST,40.583542,-73.82643,"40.583542,-73.82643"
R419,ROCKAWAY PK 116,40.580454,-73.837459,"40.580454,-73.837459"
R420,DITMAS AVE,40.63615,-73.978179,"40.63615,-73.978179"
R421,AVE I,40.625305,-73.975732,"40.625305,-73.975732"
R422,22 AVE-BAY PKY,40.620907,-73.975453,"40.620907,-73.975453"
R423,AVE N,40.615174,-73.974166,"40.615174,-73.974166"
R424,AVE P,40.609147,-73.972986,"40.609147,-73.972986"
R425,AVE U,40.596065,-73.973329,"40.596065,-73.973329"
R426,NEPTUNE AVE,40.580992,-73.974531,"40.580992,-73.974531"
R427,MIDDLETOWN ROAD,40.843635,-73.836687,"40.843635,-73.836687"
R428,BUHRE AVE,40.846817,-73.832545,"40.846817,-73.832545"
R429,PELHAM BAY PARK,40.852465,-73.828125,"40.852465,-73.828125"
R430,PELHAM PARKWAY,40.858973,-73.855355,"40.858973,-73.855355"
R431,DYRE AVE,40.888244,-73.83085,"40.888244,-73.83085"
R432,CHAUNCEY ST,40.682867,-73.91048,"40.682867,-73.91048"
R433,ALABAMA AVE,40.677107,-73.898871,"40.677107,-73.898871"
R434,VAN SICLEN AVE,40.678018,-73.891726,"40.678018,-73.891726"
R435,CLEVELAND ST,40.679938,-73.884687,"40.679938,-73.884687"
R436,NORWOOD AVE,40.681598,-73.880074,"40.681598,-73.880074"
R437,CRESCENT ST,40.683209,-73.873765,"40.683209,-73.873765"
R438,RALPH AVE,40.678815,-73.920801,"40.678815,-73.920801"
R439,ROCKAWAY AVE,40.67836,-73.911939,"40.67836,-73.911939"
R440,LIBERTY AVE,40.674552,-73.896554,"40.674552,-73.896554"
R441,VAN SICLEN AVE,40.672786,-73.890438,"40.672786,-73.890438"
R442,SHEPHERD AVE,40.674161,-73.880761,"40.674161,-73.880761"
R443,170 ST,40.839301,-73.913355,"40.839301,-73.913355"
R444,NEREID AVE,40.898382,-73.854389,"40.898382,-73.854389"
R445,138 ST-3 AVE,40.810512,-73.926165,"40.810512,-73.926165"
R446,BROOK AVE,40.808044,-73.919234,"40.808044,-73.919234"
R447,CYPRESS AVE,40.805737,-73.914471,"40.805737,-73.914471"
R448,E 143 ST,40.808742,-73.90769,"40.808742,-73.90769"
R449,E 149 ST,40.812104,-73.904085,"40.812104,-73.904085"
R450,LONGWOOD AVE,40.816083,-73.89606,"40.816083,-73.89606"
R451,WINTHROP ST,40.656648,-73.950198,"40.656648,-73.950198"
R452,72 ST,40.778575,-73.981912,"40.778575,-73.981912"
R453,23 ST-6 AVE,40.742981,-73.992727,"40.742981,-73.992727"
R454,PROSPECT AVE,40.665405,-73.992877,"40.665405,-73.992877"
R455,25 ST,40.66043,-73.997944,"40.66043,-73.997944"
R456,HOYT ST,40.690545,-73.985065,"40.690545,-73.985065"
R459,ORCHARD BEACH,40.852417,-73.828082,"40.852417,-73.828082"
R460,MARCY AVE,40.708377,-73.957751,"40.708377,-73.957751"
R461,BROADWAY/LAFAY,40.725297,-73.996204,"40.725297,-73.996204"
R462,CANAL ST,40.718697,-74.000977,"40.718697,-74.000977"
R463,CANAL ST,40.718697,-74.000977,"40.718697,-74.000977"
R464,AQUEDUCT TRACK,40.668221,-73.834026,"40.668221,-73.834026"
R468,RIT-MANHATTAN,40.761268,-73.964016,"40.761268,-73.964016"
R469,RIT-ROOSEVELT,40.7574,-73.954006,"40.7574,-73.954006"
R470,ELTINGVILLE PK,40.5446,-74.164581,"40.5446,-74.164581"
R535,JFK HOWARD BCH,40.660476,-73.830301,"40.660476,-73.830301"
R536,JFK JAMAICA CT1,40.643942,-73.782356,"40.643942,-73.782356"
R570,72 ST-2 AVE,40.7686869,-73.9584429,"40.7686869,-73.9584429"
R571,86 ST-2 AVE,40.7686862,-73.9584429,"40.7686862,-73.9584429"
R572,96 ST-2 AVE,40.7807028,-73.9494105,"40.7807028,-73.9494105"
